iter   0  gbest=0.2781  gains=[ 0.5   11.74   7.193  3.707]
iter   1  gbest=0.2758  gains=[ 0.5   10.563  3.757  3.979]
iter   2  gbest=0.2697  gains=[ 0.5   11.036  4.592  4.175]
iter   3  gbest=0.2660  gains=[ 0.5   11.147  1.151  4.014]
iter   4  gbest=0.2657  gains=[ 0.5   13.633  2.43   4.343]
iter   5  gbest=0.2623  gains=[ 0.5   15.     1.972  4.251]
iter   6  gbest=0.2623  gains=[ 0.5   15.     1.972  4.251]
iter   7  gbest=0.2623  gains=[ 0.5   15.     1.972  4.251]
iter   8  gbest=0.2623  gains=[ 0.5   15.     1.972  4.251]
iter   9  gbest=0.2623  gains=[ 0.5   15.     1.972  4.251]
iter  10  gbest=0.2622  gains=[ 0.5   14.57   2.108  7.992]
iter  11  gbest=0.2622  gains=[ 0.5   14.57   2.108  7.992]
iter  12  gbest=0.2622  gains=[ 0.5   14.57   2.108  7.992]
iter  13  gbest=0.2622  gains=[ 0.5   14.57   2.108  7.992]
iter  14  gbest=0.2622  gains=[ 0.5   14.57   2.108  7.992]
iter  15  gbest=0.2622  gains=[ 0.5   14.57   2.108  7.992]
iter  16  gbest=0.2622  gains=[ 0.5   14.57   2.108  7.992]
iter  17  gbest=0.2622  gains=[ 0.5   14.57   2.108  7.992]
iter  18  gbest=0.2622  gains=[ 0.5   14.57   2.108  7.992]
iter  19  gbest=0.2622  gains=[ 0.5   14.57   2.108  7.992]
iter  20  gbest=0.2617  gains=[ 0.5  15.    1.77  3.45]
iter  21  gbest=0.2606  gains=[ 0.5   14.842  1.539  6.456]
iter  22  gbest=0.2606  gains=[ 0.5   14.842  1.539  6.456]
iter  23  gbest=0.2606  gains=[ 0.5   14.842  1.539  6.456]
iter  24  gbest=0.2606  gains=[ 0.5   14.842  1.539  6.456]
saved best_gains.npy: [ 0.5    14.8415  1.5393  6.456 ]  cost 0.2606
